S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1262,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1100000,-,904,Strata,01 to 05,1217,Aug-21
1263,KEW GREEN,KEW CRESCENT,Condominium,16,OCR,99 yrs lease commencing from 1994,Resale,1,2350000,-,3369,Strata,-,698,Aug-21
1264,THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1993,Resale,1,1258000,-,1238,Strata,11 to 15,1016,Aug-21
1265,LE GAMBIR,LORONG GAMBIR,Apartment,19,OCR,Freehold,Resale,1,1350000,-,1259,Strata,01 to 05,1072,Aug-21
1266,SPACE @ KOVAN,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,Resale,1,800000,-,603,Strata,01 to 05,1327,Aug-21
1267,PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,864000,-,786,Strata,06 to 10,1100,Aug-21
1268,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,890000,-,850,Strata,01 to 05,1047,Aug-21
1269,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,Resale,1,1080000,-,1367,Strata,11 to 15,790,Aug-21
1270,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,1150000,-,904,Strata,06 to 10,1272,Aug-21
1271,ESTELLA GARDENS,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,888000,-,958,Strata,01 to 05,927,Aug-21
1272,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,1185000,-,1087,Strata,06 to 10,1090,Aug-21
1273,NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1030000,-,1109,Strata,01 to 05,929,Aug-21
1274,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,688000,-,936,Strata,01 to 05,735,Aug-21
1275,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,Resale,1,820000,-,1066,Strata,11 to 15,769,Aug-21
1276,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1800000,-,1141,Strata,01 to 05,1578,Aug-21
1277,ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,778000,-,592,Strata,06 to 10,1314,Aug-21
1278,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1840000,-,1216,Strata,26 to 30,1513,Aug-21
1279,FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1000000,-,1044,Strata,16 to 20,958,Aug-21
1280,EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,975000,-,1184,Strata,06 to 10,823,Aug-21
1281,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 yrs lease commencing from 2014,Resale,1,1620000,-,958,Strata,11 to 15,1691,Aug-21
1282,Q BAY RESIDENCES,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2012,Resale,1,938000,-,829,Strata,01 to 05,1132,Aug-21
1283,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1550000,-,1227,Strata,06 to 10,1263,Aug-21
1284,WATERFRONT WAVES,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1530000,-,1249,Strata,11 to 15,1225,Aug-21
1285,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,1100000,-,904,Strata,11 to 15,1217,Aug-21
1286,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1750000,-,1378,Strata,01 to 05,1270,Aug-21
1287,FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,980000,-,1012,Strata,06 to 10,969,Aug-21
1288,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,780000,-,581,Strata,06 to 10,1342,Aug-21
1289,EAST VILLAGE,UPPER CHANGI ROAD,Apartment,16,OCR,Freehold,Resale,1,590000,-,409,Strata,01 to 05,1442,Aug-21
1290,VIBES@UPPER SERANGOON,UPPER SERANGOON ROAD,Apartment,19,OCR,Freehold,Resale,1,615000,-,441,Strata,01 to 05,1394,Aug-21
1291,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,Resale,1,1600000,-,1044,Strata,01 to 05,1532,Aug-21
1292,BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,2400000,-,2196,Strata,21 to 25,1093,Aug-21
1293,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,1500000,-,1378,Strata,01 to 05,1089,Aug-21
1294,EVANIA,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,Resale,1,1781000,-,1421,Strata,01 to 05,1253,Aug-21
1295,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,800000,-,603,Strata,06 to 10,1327,Aug-21
1296,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,Resale,1,1220000,-,732,Strata,01 to 05,1667,Aug-21
1297,GLASGOW RESIDENCE,GLASGOW ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,Resale,1,565000,-,420,Strata,01 to 05,1346,Aug-21
